epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6948,1.24328,1.61881,0.83064,0.09887,0.45573,0.09857,0.05899,1.2927,inf,0.81567,0.000405983,0.000405983,0.000405983
2,152.991,1.23452,0.76803,0.81647,0.05003,0.07779,0.0115,0.00869,nan,nan,nan,0.000814505,0.000814505,0.000814505
3,251.492,1.2449,0.69507,0.82299,0.52568,0.53983,0.5477,0.33215,1.12617,1.02112,0.81222,0.00121478,0.00121478,0.00121478
4,311.49,1.16866,0.65894,0.814,0.8757,0.55778,0.6574,0.37853,1.14325,0.72977,0.81333,0.00121287,0.00121287,0.00121287
5,371.099,1.20023,0.65813,0.81046,0.72688,0.58591,0.65439,0.39047,1.11514,0.75074,0.80737,0.0012005,0.0012005,0.0012005
6,429.614,1.16066,0.61464,0.80957,0.6996,0.62928,0.65505,0.38074,1.21913,0.62851,0.81348,0.00118812,0.00118812,0.00118812
7,488.038,1.1274,0.57822,0.80723,0.85774,0.62941,0.75616,0.48678,1.00807,0.5576,0.80366,0.00117575,0.00117575,0.00117575
8,546.433,1.11149,0.55856,0.80617,0.82612,0.62616,0.71942,0.45553,1.01771,0.54479,0.80133,0.00116337,0.00116337,0.00116337
9,604.6,1.12113,0.57878,0.805,0.86964,0.5936,0.69158,0.40907,1.206,0.69305,0.82011,0.001151,0.001151,0.001151
10,662.063,1.0907,0.55671,0.80345,0.85156,0.67905,0.74533,0.47976,0.96195,0.48881,0.7993,0.00113863,0.00113863,0.00113863
11,720.321,1.02153,0.51319,0.80019,0.68202,0.73601,0.65954,0.42142,0.97922,0.56681,0.79862,0.00112625,0.00112625,0.00112625
12,777.616,1.01464,0.50389,0.79738,0.77261,0.70849,0.74342,0.48582,0.98992,0.50955,0.79557,0.00111388,0.00111388,0.00111388
13,835.87,1.03007,0.50999,0.79751,0.83596,0.64188,0.73111,0.43639,1.07097,0.54121,0.80114,0.0011015,0.0011015,0.0011015
14,893.363,0.97036,0.48489,0.79474,0.81678,0.67821,0.75794,0.48212,0.88779,0.475,0.79244,0.00108913,0.00108913,0.00108913
15,951.616,0.9751,0.48073,0.79269,0.8661,0.70194,0.76523,0.49863,0.9325,0.46615,0.79448,0.00107675,0.00107675,0.00107675
16,1010.03,0.99075,0.47947,0.79387,0.79355,0.71506,0.7531,0.44969,1.2158,0.54329,0.8073,0.00106437,0.00106437,0.00106437
17,1068.2,1.08156,0.51732,0.80089,0.897,0.70842,0.76085,0.50836,0.92347,0.48502,0.79711,0.001052,0.001052,0.001052
18,1126.59,0.97791,0.47542,0.79452,0.82415,0.67064,0.73983,0.5047,0.9121,0.47471,0.79293,0.00103962,0.00103962,0.00103962
19,1184.73,0.91659,0.44788,0.78988,0.90688,0.70086,0.78559,0.5155,0.85376,0.44813,0.79056,0.00102725,0.00102725,0.00102725
20,1242.99,0.93402,0.465,0.79075,0.90412,0.71602,0.80071,0.54117,0.82696,0.44187,0.78875,0.00101488,0.00101488,0.00101488
21,1302.21,0.9171,0.46407,0.79077,0.9117,0.60973,0.72547,0.46903,0.90581,0.49154,0.79384,0.0010025,0.0010025,0.0010025
22,1359.53,0.94922,0.4624,0.79526,0.87042,0.66215,0.75382,0.47257,0.94726,0.4912,0.8008,0.000990125,0.000990125,0.000990125
23,1417.72,0.98339,0.46774,0.79522,0.78074,0.70427,0.75994,0.48814,0.97132,0.48246,0.79357,0.00097775,0.00097775,0.00097775
24,1475.11,0.95186,0.45231,0.79224,0.87662,0.74464,0.79847,0.5237,0.90209,0.44608,0.79374,0.000965375,0.000965375,0.000965375
25,1533.2,0.90867,0.43558,0.78964,0.862,0.70812,0.78772,0.5374,0.8182,0.44194,0.78862,0.000953,0.000953,0.000953
26,1590.59,0.91661,0.43806,0.78795,0.91548,0.6603,0.81119,0.53671,0.88066,0.46013,0.79195,0.000940625,0.000940625,0.000940625
27,1648.77,0.91013,0.45052,0.78985,0.84901,0.72314,0.7904,0.52154,0.89129,0.43371,0.79258,0.00092825,0.00092825,0.00092825
28,1706.03,0.91229,0.43679,0.79152,0.92681,0.70933,0.79656,0.5089,0.92388,0.44103,0.7918,0.000915875,0.000915875,0.000915875
29,1764.12,0.89685,0.43733,0.78724,0.82752,0.73862,0.79275,0.54099,0.85452,0.42641,0.79089,0.0009035,0.0009035,0.0009035
30,1821.27,0.88092,0.41807,0.78816,0.8303,0.73934,0.8118,0.54855,0.80011,0.42087,0.78741,0.000891125,0.000891125,0.000891125
31,1880.34,0.88198,0.42247,0.78776,0.86958,0.72122,0.78572,0.52848,0.8554,0.4443,0.79228,0.00087875,0.00087875,0.00087875
32,1937.75,0.88637,0.43511,0.78768,0.80382,0.72995,0.76686,0.5119,0.87379,0.43885,0.79209,0.000866375,0.000866375,0.000866375
33,1995.87,0.87587,0.42669,0.78862,0.80904,0.74137,0.77331,0.52446,0.8327,0.41667,0.79009,0.000854,0.000854,0.000854
34,2053.15,0.91539,0.44524,0.79088,0.9073,0.72172,0.80953,0.52513,0.85738,0.43264,0.79015,0.000841625,0.000841625,0.000841625
35,2111.33,0.90227,0.42994,0.78883,0.81177,0.72456,0.79047,0.54208,0.82758,0.42453,0.79045,0.00082925,0.00082925,0.00082925
36,2168.46,0.86681,0.41927,0.78922,0.91317,0.72589,0.77774,0.52821,0.87616,0.44442,0.79286,0.000816875,0.000816875,0.000816875
37,2226.5,0.85957,0.41816,0.78518,0.92169,0.71327,0.78793,0.54775,0.81127,0.41623,0.79012,0.0008045,0.0008045,0.0008045
38,2283.86,0.85248,0.40869,0.78541,0.96153,0.70027,0.79773,0.55742,0.79969,0.40949,0.78865,0.000792125,0.000792125,0.000792125
39,2342.78,0.83615,0.39659,0.78321,0.9394,0.74272,0.84459,0.57545,0.8002,0.40616,0.78758,0.00077975,0.00077975,0.00077975
40,2401.04,0.82207,0.39122,0.78419,0.90189,0.72609,0.81128,0.56371,0.78886,0.39998,0.78691,0.000767375,0.000767375,0.000767375
41,2459.05,0.82271,0.38797,0.78082,0.85895,0.723,0.79384,0.54649,0.80374,0.3925,0.78943,0.000755,0.000755,0.000755
42,2516.45,0.80015,0.38236,0.78414,0.94262,0.71382,0.80279,0.55663,0.77189,0.40231,0.78784,0.000742625,0.000742625,0.000742625
43,2574.6,0.83844,0.40264,0.78235,0.88809,0.74225,0.807,0.56357,0.81738,0.42002,0.78933,0.00073025,0.00073025,0.00073025
44,2631.74,0.88806,0.42092,0.78603,0.89689,0.67414,0.81071,0.5314,0.93202,0.45424,0.79239,0.000717875,0.000717875,0.000717875
45,2689.8,0.81008,0.38764,0.78499,0.91017,0.7346,0.82928,0.55072,0.81179,0.41507,0.78968,0.0007055,0.0007055,0.0007055
46,2746.75,0.81226,0.3826,0.78079,0.9234,0.75021,0.83374,0.5611,0.77365,0.40454,0.78408,0.000693125,0.000693125,0.000693125
47,2804.64,0.82489,0.38478,0.78351,0.8547,0.75599,0.8165,0.54982,0.84682,0.42687,0.79139,0.00068075,0.00068075,0.00068075
48,2861.94,0.84637,0.38947,0.78363,0.88823,0.76871,0.81993,0.56927,0.77562,0.38878,0.78776,0.000668375,0.000668375,0.000668375
49,2919.88,0.8129,0.38078,0.78154,0.88211,0.73848,0.82538,0.56842,0.78019,0.38774,0.7854,0.000656,0.000656,0.000656
50,2977.07,0.77752,0.36866,0.78305,0.88858,0.73443,0.83329,0.58025,0.7675,0.38716,0.78545,0.000643625,0.000643625,0.000643625
51,3036.26,0.77928,0.37158,0.78154,0.90031,0.76208,0.80638,0.55699,0.797,0.39904,0.78573,0.00063125,0.00063125,0.00063125
52,3093.2,0.79121,0.37835,0.78168,0.89334,0.75639,0.8021,0.54866,0.79025,0.39683,0.78734,0.000618875,0.000618875,0.000618875
53,3151.33,0.80489,0.38705,0.78121,0.84643,0.75062,0.82295,0.56693,0.80919,0.41205,0.78515,0.0006065,0.0006065,0.0006065
54,3208.76,0.83303,0.39322,0.78325,0.88396,0.74467,0.80955,0.56156,0.7924,0.39731,0.78541,0.000594125,0.000594125,0.000594125
55,3266.76,0.79011,0.37771,0.78053,0.84809,0.72559,0.80833,0.56077,0.78866,0.39936,0.78552,0.00058175,0.00058175,0.00058175
56,3323.97,0.80832,0.37612,0.78226,0.8795,0.73051,0.81225,0.55572,0.77066,0.38675,0.78512,0.000569375,0.000569375,0.000569375
57,3381.9,0.78267,0.3718,0.78134,0.90364,0.76403,0.82395,0.5618,0.77834,0.38585,0.78594,0.000557,0.000557,0.000557
58,3439.12,0.79828,0.3734,0.78066,0.9035,0.74665,0.82255,0.56277,0.78474,0.37883,0.7851,0.000544625,0.000544625,0.000544625
59,3497.18,0.75158,0.35466,0.77875,0.86987,0.76242,0.8268,0.57088,0.78934,0.38493,0.78545,0.00053225,0.00053225,0.00053225
60,3554.02,0.75886,0.35946,0.77982,0.85536,0.75865,0.81546,0.5734,0.7914,0.38834,0.78669,0.000519875,0.000519875,0.000519875
61,3611.83,0.7912,0.36899,0.78058,0.87344,0.72827,0.82585,0.56156,0.79013,0.39475,0.78717,0.0005075,0.0005075,0.0005075
62,3668.9,0.80558,0.36758,0.78086,0.90064,0.75141,0.82406,0.56975,0.78433,0.39479,0.78513,0.000495125,0.000495125,0.000495125
63,3726.79,0.75712,0.35149,0.77866,0.89941,0.75048,0.82165,0.58166,0.76604,0.3795,0.78481,0.00048275,0.00048275,0.00048275
64,3784.65,0.75094,0.35097,0.78263,0.93906,0.73455,0.83128,0.56468,0.81293,0.40711,0.78639,0.000470375,0.000470375,0.000470375
65,3842.26,0.79677,0.36506,0.77908,0.87949,0.77303,0.82173,0.56535,0.77693,0.37725,0.78531,0.000458,0.000458,0.000458
66,3899.52,0.76124,0.3531,0.77852,0.93417,0.73945,0.82448,0.56106,0.7802,0.38546,0.78676,0.000445625,0.000445625,0.000445625
67,3957.42,0.74664,0.34362,0.78148,0.92038,0.74095,0.82761,0.58455,0.74455,0.36786,0.78317,0.00043325,0.00043325,0.00043325
68,4015.22,0.73587,0.3408,0.77774,0.91154,0.74045,0.82435,0.57467,0.74387,0.3696,0.78402,0.000420875,0.000420875,0.000420875
69,4073.08,0.74293,0.34561,0.77793,0.88778,0.74185,0.82135,0.56906,0.75793,0.37716,0.78424,0.0004085,0.0004085,0.0004085
70,4130.28,0.73385,0.34063,0.7783,0.83238,0.72021,0.78517,0.55645,0.7647,0.37838,0.78535,0.000396125,0.000396125,0.000396125
71,4188.15,0.72473,0.34114,0.77527,0.93572,0.72056,0.81418,0.56953,0.7652,0.37348,0.78546,0.00038375,0.00038375,0.00038375
72,4245.07,0.72054,0.33452,0.7777,0.85358,0.75729,0.80576,0.56809,0.74654,0.36996,0.78392,0.000371375,0.000371375,0.000371375
73,4303.08,0.75174,0.3475,0.77778,0.90684,0.74609,0.81046,0.56164,0.77176,0.38313,0.78541,0.000359,0.000359,0.000359
74,4360.28,0.72493,0.33874,0.77739,0.90714,0.7453,0.82093,0.58313,0.7356,0.37703,0.78323,0.000346625,0.000346625,0.000346625
75,4418.23,0.72425,0.34146,0.77909,0.92429,0.75219,0.82149,0.57425,0.76894,0.3739,0.78595,0.00033425,0.00033425,0.00033425
76,4475.35,0.72834,0.33883,0.77664,0.9398,0.7366,0.81751,0.57575,0.77775,0.37692,0.78513,0.000321875,0.000321875,0.000321875
77,4533.09,0.70912,0.32941,0.7778,0.94428,0.75277,0.83233,0.58518,0.75693,0.37792,0.78346,0.0003095,0.0003095,0.0003095
78,4591.07,0.72782,0.33509,0.77779,0.91973,0.75014,0.82344,0.5767,0.75682,0.37466,0.78546,0.000297125,0.000297125,0.000297125
79,4648.99,0.69494,0.32655,0.77583,0.9178,0.76537,0.83426,0.57706,0.74545,0.3733,0.7833,0.00028475,0.00028475,0.00028475
80,4706.23,0.71106,0.32895,0.77597,0.91903,0.75903,0.83709,0.59186,0.74055,0.35761,0.78338,0.000272375,0.000272375,0.000272375
81,4764.91,0.69073,0.32305,0.77623,0.9283,0.74063,0.83618,0.58935,0.72982,0.36236,0.78285,0.00026,0.00026,0.00026
82,4821.93,0.69128,0.32176,0.77523,0.92566,0.74629,0.84722,0.60278,0.73718,0.36443,0.78296,0.000247625,0.000247625,0.000247625
83,4880.74,0.69198,0.32496,0.77667,0.90313,0.74463,0.83056,0.57971,0.7428,0.37158,0.78333,0.00023525,0.00023525,0.00023525
84,4937.76,0.69793,0.32405,0.77398,0.95369,0.74653,0.8343,0.57926,0.75022,0.37936,0.78441,0.000222875,0.000222875,0.000222875
85,4995.6,0.67859,0.31993,0.77636,0.94039,0.74506,0.83667,0.59682,0.7306,0.36586,0.78316,0.0002105,0.0002105,0.0002105
86,5052.78,0.69253,0.32121,0.77504,0.94587,0.74452,0.83955,0.58976,0.73491,0.35846,0.78299,0.000198125,0.000198125,0.000198125
87,5110.83,0.66518,0.31199,0.77649,0.90417,0.74436,0.83321,0.59757,0.72955,0.35763,0.78272,0.00018575,0.00018575,0.00018575
88,5168.09,0.67607,0.31768,0.77498,0.90666,0.75945,0.84552,0.60614,0.74095,0.36652,0.78218,0.000173375,0.000173375,0.000173375
89,5226.83,0.66735,0.31388,0.77398,0.92706,0.76949,0.83176,0.58475,0.73936,0.37388,0.78291,0.000161,0.000161,0.000161
90,5283.71,0.65373,0.30857,0.77533,0.90512,0.75915,0.83838,0.58701,0.73675,0.36156,0.78244,0.000148625,0.000148625,0.000148625
91,5342,0.62094,0.30353,0.77275,0.93177,0.78581,0.84054,0.60045,0.73385,0.36293,0.78239,0.00013625,0.00013625,0.00013625
92,5398.56,0.61294,0.30022,0.7761,0.93333,0.75608,0.83553,0.58603,0.74422,0.36691,0.78286,0.000123875,0.000123875,0.000123875
93,5455.83,0.61093,0.29911,0.77301,0.92834,0.7589,0.82862,0.5727,0.75377,0.37242,0.78384,0.0001115,0.0001115,0.0001115
94,5512.52,0.60998,0.29922,0.77335,0.93704,0.73831,0.84079,0.58545,0.75363,0.37028,0.78299,9.9125e-05,9.9125e-05,9.9125e-05
95,5570,0.60426,0.29509,0.77391,0.93901,0.74519,0.83322,0.58753,0.74137,0.37288,0.78305,8.675e-05,8.675e-05,8.675e-05
96,5626.34,0.59355,0.28926,0.77203,0.91468,0.76265,0.83242,0.59174,0.73696,0.36527,0.78233,7.4375e-05,7.4375e-05,7.4375e-05
97,5683.66,0.59987,0.29101,0.77115,0.91635,0.7619,0.8305,0.59361,0.73791,0.36988,0.7826,6.2e-05,6.2e-05,6.2e-05
98,5740.17,0.57902,0.28438,0.76948,0.93799,0.74815,0.83284,0.59405,0.73257,0.3669,0.78176,4.9625e-05,4.9625e-05,4.9625e-05
